,LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
731,-37.82549,144.98161000000002,2018,1,1,62.6,11.5,26.53,13.5,18.82,2.8,1.81,7.47,6.33,4.42,3.59
732,-37.82549,144.98161000000002,2018,1,2,63.27,10.4,23.23,13.2,17.37,3.9,2.67,8.23,6.98,5.51,4.52
733,-37.82549,144.98161000000002,2018,1,3,61.31,9.54,22.54,12.77,16.96,3.9,2.26,6.85,6.22,6.14,4.82
734,-37.82549,144.98161000000002,2018,1,4,60.84,11.53,27.72,13.16,19.19,0.74,0.64,6.48,5.9,3.48,2.9
735,-37.82549,144.98161000000002,2018,1,5,53.45,11.87,30.11,14.41,21.68,1.1,1.23,4.63,3.25,2.62,2.14
736,-37.82549,144.98161000000002,2018,1,6,36.28,11.14,38.27,17.91,27.5,4.63,2.77,13.07,9.75,9.07,6.38
737,-37.82549,144.98161000000002,2018,1,7,62.43,11.86,24.04,15.12,19.11,2.86,2.23,5.1,4.63,4.11,3.49
738,-37.82549,144.98161000000002,2018,1,8,66.12,12.35,24.77,13.89,18.71,0.64,1.34,6.84,5.58,3.32,2.93
739,-37.82549,144.98161000000002,2018,1,9,60.84,9.6,23.15,12.68,17.14,4.49,3.29,8.85,7.93,6.73,5.45
740,-37.82549,144.98161000000002,2018,1,10,55.83,10.11,27.52,11.59,19.07,1.85,1.61,6.36,4.91,4.32,3.23
741,-37.82549,144.98161000000002,2018,1,11,39.99,10.39,34.59,14.7,24.98,0.61,0.36,7.58,4.15,3.0,2.0
742,-37.82549,144.98161000000002,2018,1,12,67.04,16.71,28.83,15.0,23.05,3.33,2.43,11.74,8.67,8.18,5.81
743,-37.82549,144.98161000000002,2018,1,13,68.71,9.41,19.32,11.84,15.04,2.27,1.49,10.1,8.08,7.41,5.65
744,-37.82549,144.98161000000002,2018,1,14,57.45,7.1,20.41,11.33,15.4,6.16,3.55,9.34,7.49,8.04,6.23
745,-37.82549,144.98161000000002,2018,1,15,70.69,11.66,23.13,12.2,16.94,5.86,3.29,9.81,8.51,7.63,5.82
746,-37.82549,144.98161000000002,2018,1,16,57.44,10.39,26.63,12.01,18.9,4.55,2.76,7.48,6.4,5.76,4.33
747,-37.82549,144.98161000000002,2018,1,17,40.09,7.13,32.15,11.38,21.32,1.19,0.95,5.96,3.98,3.15,2.21
748,-37.82549,144.98161000000002,2018,1,18,25.8,6.28,38.2,15.68,27.69,2.37,1.63,9.3,7.0,6.49,4.32
749,-37.82549,144.98161000000002,2018,1,19,24.61,6.89,40.59,18.73,29.22,1.27,1.24,10.09,7.36,6.8,4.74
750,-37.82549,144.98161000000002,2018,1,20,69.54,15.17,27.02,17.02,20.85,1.95,2.24,6.79,5.49,4.08,3.57
751,-37.82549,144.98161000000002,2018,1,21,52.54,15.83,35.49,18.86,26.22,0.71,0.44,6.42,4.41,4.24,3.02
752,-37.82549,144.98161000000002,2018,1,22,63.7,15.58,32.08,15.98,22.7,1.26,0.92,7.99,7.21,4.07,3.61
753,-37.82549,144.98161000000002,2018,1,23,61.09,11.96,26.59,15.26,19.57,3.85,3.44,6.23,5.6,5.09,4.44
754,-37.82549,144.98161000000002,2018,1,24,62.15,12.44,28.8,13.97,19.79,1.52,1.83,6.86,6.3,4.6,3.96
755,-37.82549,144.98161000000002,2018,1,25,60.08,14.85,33.78,15.15,22.9,0.58,0.44,5.87,5.03,3.67,2.85
756,-37.82549,144.98161000000002,2018,1,26,73.32,17.66,31.98,17.5,22.59,0.73,0.68,7.16,6.04,3.56,2.86
757,-37.82549,144.98161000000002,2018,1,27,67.67,19.0,33.23,18.49,25.28,1.35,1.03,5.3,3.55,2.9,2.06
758,-37.82549,144.98161000000002,2018,1,28,51.88,18.71,36.88,22.2,29.54,2.69,1.44,9.76,7.49,6.69,4.45
759,-37.82549,144.98161000000002,2018,1,29,65.67,18.34,32.88,16.95,25.09,4.7,3.73,11.92,9.15,8.57,6.39
760,-37.82549,144.98161000000002,2018,1,30,68.77,10.44,19.03,13.69,16.1,8.08,6.32,10.74,8.97,9.45,7.52
761,-37.82549,144.98161000000002,2018,1,31,58.24,6.81,18.33,12.18,14.88,7.88,4.95,11.3,9.61,10.06,7.8
762,-37.82549,144.98161000000002,2018,2,1,59.06,7.85,21.77,10.41,15.77,5.4,3.41,8.43,7.51,6.91,5.32
763,-37.82549,144.98161000000002,2018,2,2,66.08,11.33,23.89,12.48,17.65,3.95,3.28,7.19,6.15,5.89,4.46
764,-37.82549,144.98161000000002,2018,2,3,63.05,12.67,27.01,12.81,19.81,3.25,3.05,8.26,6.91,5.81,4.31
765,-37.82549,144.98161000000002,2018,2,4,57.95,11.9,28.23,13.81,20.36,0.39,0.56,6.42,5.58,4.11,3.15
766,-37.82549,144.98161000000002,2018,2,5,59.82,12.12,28.95,13.55,20.08,0.34,0.5,6.65,5.93,3.82,2.98
767,-37.82549,144.98161000000002,2018,2,6,55.61,13.11,31.57,13.95,22.34,0.24,0.4,6.73,4.83,3.69,2.66
768,-37.82549,144.98161000000002,2018,2,7,43.91,13.27,36.34,17.14,26.55,2.15,1.0,7.07,5.62,3.98,2.79
769,-37.82549,144.98161000000002,2018,2,8,60.32,15.7,29.21,19.05,23.73,2.63,1.43,5.43,4.74,3.99,3.09
770,-37.82549,144.98161000000002,2018,2,9,68.99,16.01,28.37,17.5,21.85,2.33,1.66,5.09,3.37,3.47,2.67
771,-37.82549,144.98161000000002,2018,2,10,54.0,15.14,33.6,17.76,25.01,2.52,1.53,13.98,10.4,8.44,6.06
772,-37.82549,144.98161000000002,2018,2,11,61.44,10.24,21.92,13.76,17.66,5.34,3.35,8.24,6.59,6.92,5.58
773,-37.82549,144.98161000000002,2018,2,12,58.62,9.49,23.8,12.28,17.62,4.26,3.04,5.86,4.84,5.2,3.84
774,-37.82549,144.98161000000002,2018,2,13,51.1,10.53,28.26,13.51,20.99,0.52,0.32,8.54,4.49,3.61,2.23
775,-37.82549,144.98161000000002,2018,2,14,44.11,6.24,22.08,12.78,18.76,5.31,3.11,16.22,12.75,9.77,7.18
776,-37.82549,144.98161000000002,2018,2,15,60.96,9.36,22.1,11.59,16.86,4.93,3.02,7.18,5.94,6.12,4.45
777,-37.82549,144.98161000000002,2018,2,16,59.43,9.34,23.32,12.9,17.24,3.38,2.06,6.76,5.76,5.55,4.12
778,-37.82549,144.98161000000002,2018,2,17,51.47,9.19,29.29,11.61,19.42,0.97,0.66,6.35,5.02,3.87,3.02
779,-37.82549,144.98161000000002,2018,2,18,65.36,12.92,28.8,13.69,19.49,0.26,0.15,7.26,6.48,4.32,3.54
780,-37.82549,144.98161000000002,2018,2,19,69.12,13.94,25.84,15.39,19.67,6.04,4.3,11.2,9.07,8.53,6.75
781,-37.82549,144.98161000000002,2018,2,20,51.43,9.99,29.05,12.71,20.3,2.1,2.16,7.64,5.37,5.04,3.79
782,-37.82549,144.98161000000002,2018,2,21,42.2,9.11,30.33,16.12,22.65,1.65,0.97,9.45,7.77,5.21,3.82
783,-37.82549,144.98161000000002,2018,2,22,51.93,12.45,28.39,18.53,22.78,0.67,0.46,4.61,3.66,2.82,2.0
784,-37.82549,144.98161000000002,2018,2,23,53.53,14.95,31.29,19.53,24.95,2.49,1.44,13.28,9.31,8.49,5.95
785,-37.82549,144.98161000000002,2018,2,24,61.19,15.29,29.93,15.09,23.06,7.67,5.99,12.92,8.8,9.61,7.36
786,-37.82549,144.98161000000002,2018,2,25,59.55,8.38,19.81,13.99,16.19,7.55,4.8,11.03,9.5,9.76,7.8
787,-37.82549,144.98161000000002,2018,2,26,56.16,10.04,27.34,11.55,18.9,2.77,1.85,7.13,5.2,5.01,3.73
788,-37.82549,144.98161000000002,2018,2,27,43.28,9.59,31.42,14.07,22.76,2.21,1.6,10.16,8.28,6.53,4.48
789,-37.82549,144.98161000000002,2018,2,28,41.54,8.23,28.43,15.73,21.94,6.95,4.75,15.24,12.08,10.81,8.1
790,-37.82549,144.98161000000002,2018,3,1,71.45,12.01,21.26,14.56,17.14,5.09,3.02,8.12,6.63,7.0,5.55
791,-37.82549,144.98161000000002,2018,3,2,62.14,11.26,25.84,13.97,18.56,1.39,1.57,5.3,3.7,3.72,2.68
792,-37.82549,144.98161000000002,2018,3,3,49.23,10.5,31.59,14.18,21.57,2.49,1.67,9.52,8.16,5.91,4.49
793,-37.82549,144.98161000000002,2018,3,4,61.39,9.47,21.91,14.02,16.86,5.08,3.16,7.12,6.15,6.04,4.85
794,-37.82549,144.98161000000002,2018,3,5,59.36,8.3,20.34,12.96,16.16,6.25,4.04,9.61,8.17,7.9,6.11
795,-37.82549,144.98161000000002,2018,3,6,58.08,9.49,25.05,11.79,17.77,4.36,2.94,7.59,6.43,6.16,4.6
796,-37.82549,144.98161000000002,2018,3,7,50.03,10.12,29.79,12.71,20.89,0.75,0.63,6.9,5.12,4.02,2.88
797,-37.82549,144.98161000000002,2018,3,8,45.23,9.57,30.79,14.65,21.99,0.53,0.54,7.15,5.8,3.7,2.7
798,-37.82549,144.98161000000002,2018,3,9,43.38,8.82,31.64,14.6,21.87,0.77,0.5,6.5,5.32,3.13,2.33
