,LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
1096,-37.82549,144.98161000000002,2019,1,1,59.54,12.13,28.86,13.71,20.17,1.73,1.36,7.05,6.16,4.01,3.39
1097,-37.82549,144.98161000000002,2019,1,2,68.24,12.85,24.71,14.6,18.74,4.91,3.36,6.68,5.91,5.64,4.65
1098,-37.82549,144.98161000000002,2019,1,3,57.61,12.93,30.56,13.65,21.56,0.84,1.1,5.58,3.78,3.03,2.37
1099,-37.82549,144.98161000000002,2019,1,4,40.36,11.76,39.81,15.25,26.35,4.29,2.63,11.84,9.43,8.69,6.45
1100,-37.82549,144.98161000000002,2019,1,5,64.54,9.91,20.62,13.13,16.54,3.39,2.73,7.48,6.27,5.91,4.66
1101,-37.82549,144.98161000000002,2019,1,6,60.83,9.74,23.38,11.78,17.29,4.84,2.74,6.88,5.96,5.68,4.45
1102,-37.82549,144.98161000000002,2019,1,7,62.44,11.33,25.93,13.35,18.55,1.72,2.2,6.31,5.61,4.28,3.63
1103,-37.82549,144.98161000000002,2019,1,8,59.88,11.83,29.27,14.09,19.75,0.43,0.49,8.05,7.08,4.27,3.5
1104,-37.82549,144.98161000000002,2019,1,9,58.13,8.31,21.62,11.78,16.5,5.29,2.97,7.51,6.29,6.47,5.17
1105,-37.82549,144.98161000000002,2019,1,10,59.14,7.93,21.22,9.92,15.83,2.99,2.26,6.39,4.64,4.54,3.42
1106,-37.82549,144.98161000000002,2019,1,11,41.0,8.1,32.23,11.4,22.01,0.9,0.75,6.63,3.68,3.24,2.14
1107,-37.82549,144.98161000000002,2019,1,12,45.31,9.2,28.16,14.49,21.55,3.66,3.06,9.07,7.85,7.08,5.47
1108,-37.82549,144.98161000000002,2019,1,13,56.31,11.58,28.67,12.65,20.5,4.82,2.95,8.25,6.86,7.36,5.75
1109,-37.82549,144.98161000000002,2019,1,14,46.94,13.05,37.77,15.34,25.15,0.31,0.21,6.36,5.34,3.31,2.52
1110,-37.82549,144.98161000000002,2019,1,15,38.87,12.94,39.58,19.01,28.32,0.81,0.53,6.0,4.76,3.8,2.77
1111,-37.82549,144.98161000000002,2019,1,16,54.63,14.33,34.16,17.71,23.95,0.58,0.32,7.54,6.94,3.52,2.79
1112,-37.82549,144.98161000000002,2019,1,17,49.18,15.58,31.32,22.57,27.1,2.27,1.26,8.63,6.47,5.27,3.42
1113,-37.82549,144.98161000000002,2019,1,18,59.6,16.04,32.46,16.22,24.29,0.79,0.28,7.5,6.28,4.68,3.46
1114,-37.82549,144.98161000000002,2019,1,19,50.47,8.56,25.2,14.56,19.06,5.29,3.28,7.1,6.37,6.21,5.03
1115,-37.82549,144.98161000000002,2019,1,20,66.35,13.38,27.22,13.83,19.73,4.13,2.86,6.82,6.18,5.39,4.37
