,LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
1461,-37.82549,144.98161000000002,2020,1,1,46.6,7.05,27.13,11.5,18.74,2.39,1.48,6.93,5.66,4.11,3.34
1462,-37.82549,144.98161000000002,2020,1,2,52.36,9.51,27.8,12.9,19.48,2.23,1.6,6.38,5.57,4.19,3.54
1463,-37.82549,144.98161000000002,2020,1,3,35.71,7.42,35.01,12.53,23.57,1.25,0.48,6.58,3.42,3.11,2.06
1464,-37.82549,144.98161000000002,2020,1,4,43.65,7.98,27.45,12.94,20.84,5.5,3.66,11.05,9.79,8.79,6.85
1465,-37.82549,144.98161000000002,2020,1,5,64.31,7.27,16.59,12.44,13.83,6.88,5.1,9.91,7.76,8.17,6.51
1466,-37.82549,144.98161000000002,2020,1,6,73.53,10.15,19.76,11.62,14.78,2.38,2.3,7.04,5.33,4.88,3.78
1467,-37.82549,144.98161000000002,2020,1,7,76.15,13.71,24.59,13.18,17.91,4.33,2.88,7.09,6.41,5.77,4.52
1468,-37.82549,144.98161000000002,2020,1,8,59.01,11.12,26.05,14.54,19.25,5.4,3.77,7.95,6.88,6.47,5.2
1469,-37.82549,144.98161000000002,2020,1,9,51.86,13.27,33.57,13.88,23.69,0.2,0.32,5.89,3.78,3.45,2.23
1470,-37.82549,144.98161000000002,2020,1,10,57.18,12.4,32.03,12.57,21.12,6.36,3.39,12.02,10.26,9.0,6.62
1471,-37.82549,144.98161000000002,2020,1,11,61.01,8.14,20.77,12.0,15.56,7.02,4.25,9.21,7.59,7.9,6.17
1472,-37.82549,144.98161000000002,2020,1,12,65.34,9.76,21.82,11.9,16.19,5.5,3.3,6.99,6.07,6.16,4.85
1473,-37.82549,144.98161000000002,2020,1,13,53.49,11.7,30.75,11.24,21.48,0.8,0.5,8.9,7.06,4.51,3.33
1474,-37.82549,144.98161000000002,2020,1,14,51.89,13.26,32.72,15.04,23.67,0.18,0.26,6.57,4.3,3.33,2.17
1475,-37.82549,144.98161000000002,2020,1,15,56.34,15.36,33.48,17.09,24.52,3.53,2.35,9.05,6.93,6.41,4.42
1476,-37.82549,144.98161000000002,2020,1,16,70.45,10.84,20.38,12.53,16.14,5.09,3.72,10.15,8.74,8.68,7.05
1477,-37.82549,144.98161000000002,2020,1,17,69.01,11.31,22.79,12.26,16.95,6.36,4.47,8.65,7.31,7.28,5.82
1478,-37.82549,144.98161000000002,2020,1,18,60.85,12.8,29.08,12.5,20.52,0.52,0.41,5.97,3.91,3.47,2.43
1479,-37.82549,144.98161000000002,2020,1,19,65.2,15.02,29.58,15.32,21.74,0.35,0.22,6.62,5.26,3.04,2.3
1480,-37.82549,144.98161000000002,2020,1,20,89.79,15.69,19.93,14.08,17.4,1.83,1.12,9.79,8.08,6.45,5.03
1481,-37.82549,144.98161000000002,2020,1,21,64.75,10.55,24.49,12.59,17.16,1.51,1.39,7.2,5.45,3.87,3.0
1482,-37.82549,144.98161000000002,2020,1,22,53.86,11.76,30.19,12.95,21.43,3.64,2.74,17.23,12.7,10.65,7.59
1483,-37.82549,144.98161000000002,2020,1,23,67.43,9.74,20.53,11.39,15.68,3.0,2.56,13.53,10.61,8.96,6.62
1484,-37.82549,144.98161000000002,2020,1,24,58.83,8.88,23.52,9.32,16.92,2.07,1.1,7.5,5.99,5.22,3.74
1485,-37.82549,144.98161000000002,2020,1,25,59.84,11.89,27.18,13.18,19.83,1.97,1.72,5.3,3.48,3.43,2.46
1486,-37.82549,144.98161000000002,2020,1,26,70.29,13.93,26.75,13.98,19.39,0.87,0.73,6.18,5.64,4.4,3.52
1487,-37.82549,144.98161000000002,2020,1,27,66.62,12.01,25.03,13.39,18.24,1.72,1.75,6.86,5.8,3.81,3.2
1488,-37.82549,144.98161000000002,2020,1,28,62.27,11.87,26.55,13.52,19.17,2.39,1.45,5.42,4.14,3.55,2.72
1489,-37.82549,144.98161000000002,2020,1,29,55.53,11.94,30.07,13.32,21.11,0.56,0.34,5.88,3.34,2.48,1.8
1490,-37.82549,144.98161000000002,2020,1,30,32.63,9.25,37.23,17.06,27.16,1.84,1.09,7.29,5.44,5.29,3.57
1491,-37.82549,144.98161000000002,2020,1,31,43.22,16.2,40.05,20.97,30.06,0.94,0.12,12.53,9.3,8.33,5.26
1492,-37.82549,144.98161000000002,2020,2,1,85.06,20.24,28.8,14.3,22.87,2.22,0.94,8.19,6.67,5.9,4.46
1493,-37.82549,144.98161000000002,2020,2,2,61.1,10.23,24.11,13.28,17.74,4.15,3.3,8.97,7.42,6.8,5.18
1494,-37.82549,144.98161000000002,2020,2,3,61.57,6.83,17.52,11.27,14.03,6.18,3.82,11.18,9.17,9.25,7.06
1495,-37.82549,144.98161000000002,2020,2,4,59.24,6.4,20.32,9.14,14.18,4.7,2.9,7.84,6.55,6.27,4.76
1496,-37.82549,144.98161000000002,2020,2,5,67.71,9.09,21.14,10.03,14.93,4.31,3.47,6.89,6.2,5.9,4.62
1497,-37.82549,144.98161000000002,2020,2,6,73.21,14.32,27.96,11.5,19.15,0.44,0.4,6.0,4.14,3.28,2.28
1498,-37.82549,144.98161000000002,2020,2,7,79.54,16.29,24.5,16.65,19.89,0.6,0.44,6.12,5.12,3.67,2.96
1499,-37.82549,144.98161000000002,2020,2,8,67.22,15.58,28.69,16.25,21.82,5.98,3.68,10.19,7.94,7.8,5.75
1500,-37.82549,144.98161000000002,2020,2,9,65.94,14.23,26.43,16.57,20.72,5.83,4.13,8.86,6.85,7.12,5.33
1501,-37.82549,144.98161000000002,2020,2,10,78.11,16.8,27.05,16.85,20.69,1.69,1.37,7.12,5.72,4.8,3.57
1502,-37.82549,144.98161000000002,2020,2,11,77.32,17.11,26.96,17.45,21.17,0.21,0.13,6.73,5.88,3.7,3.08
1503,-37.82549,144.98161000000002,2020,2,12,77.78,17.19,27.16,16.66,21.17,4.87,3.3,8.58,7.11,6.42,5.08
